control,V,K,regime,preview_mode,B,L,P,Y_A,Y_B,legal_repeat_rate,MAE_X,MAE_Y,coverage_X,coverage_Y,harm_count,denominator,queries,acquired_preview_values,exposed_preview_values,acquired_live_values,exposed_live_values,mean_decision_ms_17_unaudited_roots
copies0,1,48,NOMINAL,faithful,0.11822916666666668,0.41375833333333334,0.6821588541666667,0.6279437499999999,0.41375833333333334,0.9166666666666667,0.011826041666666667,0.056906250000000005,1.0,0.5,227,1920,4608,73728,221184,192,576,6.411866175054171
copies0,1,48,COMMON_BIAS,faithful,0.11822916666666668,0.41375833333333334,0.6821588541666667,0.6279437499999999,0.41375833333333334,0.9166666666666667,0.011826041666666667,0.056906250000000005,1.0,0.5,227,1920,4608,73728,221184,192,576,6.215457843448831
repeat0,0,48,NOMINAL,faithful,0.46614583333333337,0.049840625,0.7156416666666667,0.6279437499999999,0.049840625,0.0,0.03517708333333333,0.22888541666666667,0.8437500000000002,0.5,895,1920,4608,221184,221184,576,576,6.45891078316958
repeat0,0,48,COMMON_BIAS,faithful,0.46614583333333337,0.049840625,0.7156416666666667,0.6279437499999999,0.049840625,0.0,0.03517708333333333,0.22888541666666667,0.8437500000000002,0.5,895,1920,4608,221184,221184,576,576,6.579546080805206
repeat0,1,48,NOMINAL,faithful,0.11822916666666668,0.41375833333333334,0.6821588541666667,0.6279437499999999,0.41375833333333334,0.9166666666666667,0.008898958333333333,0.05492708333333333,1.0,0.5,227,1920,4608,221184,221184,576,576,5.941033333239794
repeat0,1,48,COMMON_BIAS,faithful,0.11822916666666668,0.41375833333333334,0.6821588541666667,0.6279437499999999,0.41375833333333334,0.9166666666666667,0.008898958333333333,0.05492708333333333,1.0,0.5,227,1920,4608,221184,221184,576,576,6.493129901726063
rho90,0,48,NOMINAL,faithful,0.3651041666666667,0.316925,0.6431598958333333,0.58631875,0.34455,0.0,0.09825989583333335,0.13132291666666668,0.5026041666666667,0.5,701,1920,4608,221184,221184,576,576,7.187057843753684
rho90,0,48,COMMON_BIAS,faithful,0.3651041666666667,0.316925,0.6431598958333333,0.58631875,0.34455,0.0,0.09825989583333335,0.13132291666666668,0.5026041666666667,0.5,701,1920,4608,221184,221184,576,576,6.4233960790671505
rho90,1,48,NOMINAL,faithful,0.0,0.5291750000000001,0.7112395833333334,0.6250270833333332,0.5291750000000001,0.21666666666666665,0.013088020833333333,0.013093749999999998,1.0,1.0,0,1920,4608,221184,221184,576,576,6.046927451012273
rho90,1,48,COMMON_BIAS,faithful,0.0015625,0.5015916666666665,0.7034296875,0.6263604166666666,0.5015916666666665,0.5166666666666667,0.012373958333333334,0.03486458333333333,1.0,0.7520833333333333,3,1920,4608,221184,221184,576,576,6.488296077769323
mean,0,48,NOMINAL,faithful,0.2770833333333333,0.34725833333333334,0.6801458333333332,0.6279437499999999,0.34725833333333334,0.0,0.043752430555555555,0.09748958333333332,0.6880208333333334,0.5,532,1920,4608,221184,221184,576,576,5.643254901966143
mean,0,48,COMMON_BIAS,faithful,0.3885416666666667,0.20125833333333332,0.6848536458333333,0.6279437499999999,0.20125833333333332,0.0,0.040776736111111114,0.13929513888888886,0.7390625,0.5,746,1920,4608,221184,221184,576,576,6.12532107790649
mean,1,48,NOMINAL,faithful,0.0,0.5125916666666666,0.6981994791666666,0.6169437499999999,0.5125916666666666,0.5458333333333334,0.0070817708333333245,0.01855902777777778,1.0,0.6307291666666667,0,1920,4608,221184,221184,576,576,5.535967646602669
mean,1,48,COMMON_BIAS,faithful,0.015624999999999997,0.47784166666666666,0.6810578125000001,0.6249437499999999,0.47784166666666666,0.7,0.007041666666666659,0.03607291666666666,1.0,0.5692708333333333,30,1920,4608,221184,221184,576,576,8.78414264683242
channel0,1,4,PHYSICAL_SHIFT,faithful,0.0010416666666666667,0.5123125000000001,0.5177244791666669,0.6246104166666667,0.5135083333333335,0.0375,0.0134375,0.025156249999999998,1.0,0.8645833333333336,2,1920,384,6144,6144,192,192,1.647654900557873
channel0,1,4,PHYSICAL_SHIFT,nominal,0.0010416666666666667,0.5123125000000001,0.5177244791666669,0.6246104166666667,0.5135083333333335,0.0375,0.0134375,0.025156249999999998,1.0,0.8645833333333336,2,1920,384,6144,6144,192,192,1.7235725514611286
channel0,1,48,PHYSICAL_SHIFT,faithful,0.19479166666666667,0.3787583333333333,0.6821588541666667,0.6279437499999999,0.3787583333333333,0.9166666666666667,0.011826041666666667,0.056906250000000005,1.0,0.5,374,1920,4608,73728,73728,192,192,5.24945343147242
channel0,1,48,PHYSICAL_SHIFT,nominal,0.19479166666666667,0.3787583333333333,0.6821588541666667,0.6279437499999999,0.3787583333333333,0.9166666666666667,0.011826041666666667,0.056906250000000005,1.0,0.5,374,1920,4608,73728,73728,192,192,5.676010784073322
