control,V,regime,K,action,count,total
channel2,0,NOMINAL,4,36,13,240
channel2,0,NOMINAL,4,38,10,240
channel2,0,NOMINAL,4,40,1,240
channel2,0,NOMINAL,4,44,5,240
channel2,0,NOMINAL,4,46,1,240
channel2,0,NOMINAL,8,0,38,240
channel2,0,NOMINAL,8,7,14,240
channel2,0,NOMINAL,8,9,14,240
channel2,0,NOMINAL,8,11,14,240
channel2,0,NOMINAL,8,13,6,240
channel2,0,NOMINAL,8,15,20,240
channel2,0,NOMINAL,8,16,5,240
channel2,0,NOMINAL,8,18,2,240
channel2,0,NOMINAL,8,20,40,240
channel2,0,NOMINAL,8,22,24,240
channel2,0,NOMINAL,8,28,1,240
channel2,0,NOMINAL,8,32,11,240
channel2,0,NOMINAL,8,34,7,240
channel2,0,NOMINAL,8,36,20,240
channel2,0,NOMINAL,8,38,13,240
channel2,0,NOMINAL,8,40,1,240
channel2,0,NOMINAL,8,44,8,240
channel2,0,NOMINAL,8,46,2,240
channel2,0,NOMINAL,16,0,4,240
channel2,0,NOMINAL,16,7,7,240
channel2,0,NOMINAL,16,9,11,240
channel2,0,NOMINAL,16,11,5,240
channel2,0,NOMINAL,16,13,5,240
channel2,0,NOMINAL,16,15,37,240
channel2,0,NOMINAL,16,16,7,240
channel2,0,NOMINAL,16,20,67,240
channel2,0,NOMINAL,16,22,25,240
channel2,0,NOMINAL,16,32,10,240
channel2,0,NOMINAL,16,34,5,240
channel2,0,NOMINAL,16,36,26,240
channel2,0,NOMINAL,16,38,17,240
channel2,0,NOMINAL,16,40,1,240
channel2,0,NOMINAL,16,42,1,240
channel2,0,NOMINAL,16,44,8,240
channel2,0,NOMINAL,16,46,4,240
channel2,0,NOMINAL,32,7,2,240
channel2,0,NOMINAL,32,9,2,240
channel2,0,NOMINAL,32,15,27,240
channel2,0,NOMINAL,32,20,96,240
channel2,0,NOMINAL,32,22,20,240
channel2,0,NOMINAL,32,36,59,240
channel2,0,NOMINAL,32,38,22,240
channel2,0,NOMINAL,32,44,10,240
channel2,0,NOMINAL,32,46,2,240
channel2,0,NOMINAL,48,15,24,240
channel2,0,NOMINAL,48,20,125,240
channel2,0,NOMINAL,48,36,76,240
channel2,0,NOMINAL,48,44,15,240
channel2,0,PHYSICAL_SHIFT,1,0,240,240
channel2,0,PHYSICAL_SHIFT,2,0,184,240
channel2,0,PHYSICAL_SHIFT,2,7,6,240
channel2,0,PHYSICAL_SHIFT,2,9,8,240
channel2,0,PHYSICAL_SHIFT,2,11,6,240
channel2,0,PHYSICAL_SHIFT,2,13,3,240
channel2,0,PHYSICAL_SHIFT,2,15,3,240
channel2,0,PHYSICAL_SHIFT,2,16,1,240
channel2,0,PHYSICAL_SHIFT,2,18,1,240
channel2,0,PHYSICAL_SHIFT,2,20,4,240
channel2,0,PHYSICAL_SHIFT,2,22,2,240
channel2,0,PHYSICAL_SHIFT,2,32,5,240
channel2,0,PHYSICAL_SHIFT,2,34,7,240
channel2,0,PHYSICAL_SHIFT,2,36,3,240
channel2,0,PHYSICAL_SHIFT,2,38,5,240
channel2,0,PHYSICAL_SHIFT,2,46,2,240
channel2,0,PHYSICAL_SHIFT,4,0,110,240
channel2,0,PHYSICAL_SHIFT,4,7,11,240
channel2,0,PHYSICAL_SHIFT,4,9,11,240
channel2,0,PHYSICAL_SHIFT,4,11,13,240
channel2,0,PHYSICAL_SHIFT,4,13,5,240
channel2,0,PHYSICAL_SHIFT,4,15,11,240
channel2,0,PHYSICAL_SHIFT,4,16,4,240
channel2,0,PHYSICAL_SHIFT,4,18,2,240
channel2,0,PHYSICAL_SHIFT,4,20,18,240
channel2,0,PHYSICAL_SHIFT,4,22,7,240
channel2,0,PHYSICAL_SHIFT,4,32,11,240
channel2,0,PHYSICAL_SHIFT,4,34,7,240
channel2,0,PHYSICAL_SHIFT,4,36,13,240
channel2,0,PHYSICAL_SHIFT,4,38,10,240
channel2,0,PHYSICAL_SHIFT,4,40,1,240
channel2,0,PHYSICAL_SHIFT,4,44,5,240
channel2,0,PHYSICAL_SHIFT,4,46,1,240
channel2,0,PHYSICAL_SHIFT,8,0,41,240
channel2,0,PHYSICAL_SHIFT,8,7,14,240
channel2,0,PHYSICAL_SHIFT,8,9,14,240
channel2,0,PHYSICAL_SHIFT,8,11,15,240
channel2,0,PHYSICAL_SHIFT,8,13,6,240
channel2,0,PHYSICAL_SHIFT,8,15,20,240
channel2,0,PHYSICAL_SHIFT,8,16,5,240
channel2,0,PHYSICAL_SHIFT,8,18,2,240
channel2,0,PHYSICAL_SHIFT,8,20,36,240
channel2,0,PHYSICAL_SHIFT,8,22,25,240
channel2,0,PHYSICAL_SHIFT,8,28,1,240
channel2,0,PHYSICAL_SHIFT,8,32,11,240
channel2,0,PHYSICAL_SHIFT,8,34,7,240
channel2,0,PHYSICAL_SHIFT,8,36,20,240
channel2,0,PHYSICAL_SHIFT,8,38,12,240
channel2,0,PHYSICAL_SHIFT,8,40,1,240
channel2,0,PHYSICAL_SHIFT,8,44,8,240
channel2,0,PHYSICAL_SHIFT,8,46,2,240
channel2,0,PHYSICAL_SHIFT,16,0,4,240
channel2,0,PHYSICAL_SHIFT,16,7,10,240
channel2,0,PHYSICAL_SHIFT,16,9,14,240
channel2,0,PHYSICAL_SHIFT,16,11,5,240
channel2,0,PHYSICAL_SHIFT,16,13,2,240
channel2,0,PHYSICAL_SHIFT,16,15,38,240
channel2,0,PHYSICAL_SHIFT,16,16,7,240
