control,V,regime,K,action,count,total
channel0,1,PHYSICAL_SHIFT,8,32,22,240
channel0,1,PHYSICAL_SHIFT,8,36,26,240
channel0,1,PHYSICAL_SHIFT,16,0,20,240
channel0,1,PHYSICAL_SHIFT,16,7,18,240
channel0,1,PHYSICAL_SHIFT,16,11,12,240
channel0,1,PHYSICAL_SHIFT,16,16,55,240
channel0,1,PHYSICAL_SHIFT,16,20,81,240
channel0,1,PHYSICAL_SHIFT,16,32,19,240
channel0,1,PHYSICAL_SHIFT,16,36,35,240
channel0,1,PHYSICAL_SHIFT,32,7,21,240
channel0,1,PHYSICAL_SHIFT,32,16,44,240
channel0,1,PHYSICAL_SHIFT,32,20,151,240
channel0,1,PHYSICAL_SHIFT,32,32,1,240
channel0,1,PHYSICAL_SHIFT,32,36,23,240
channel0,1,PHYSICAL_SHIFT,48,20,240,240
channel2,0,NOMINAL,1,0,240,240
channel2,0,NOMINAL,2,0,184,240
channel2,0,NOMINAL,2,7,6,240
channel2,0,NOMINAL,2,9,8,240
channel2,0,NOMINAL,2,11,6,240
channel2,0,NOMINAL,2,13,3,240
channel2,0,NOMINAL,2,15,3,240
channel2,0,NOMINAL,2,16,1,240
channel2,0,NOMINAL,2,18,1,240
channel2,0,NOMINAL,2,20,4,240
channel2,0,NOMINAL,2,22,2,240
channel2,0,NOMINAL,2,32,5,240
channel2,0,NOMINAL,2,34,7,240
channel2,0,NOMINAL,2,36,3,240
channel2,0,NOMINAL,2,38,5,240
channel2,0,NOMINAL,2,46,2,240
channel2,0,NOMINAL,4,0,110,240
channel2,0,NOMINAL,4,7,11,240
channel2,0,NOMINAL,4,9,11,240
channel2,0,NOMINAL,4,11,13,240
channel2,0,NOMINAL,4,13,5,240
channel2,0,NOMINAL,4,15,11,240
channel2,0,NOMINAL,4,16,4,240
channel2,0,NOMINAL,4,18,2,240
channel2,0,NOMINAL,4,20,18,240
channel2,0,NOMINAL,4,22,7,240
channel2,0,NOMINAL,4,32,11,240
channel2,0,NOMINAL,4,34,7,240
