control,V,regime,K,B,L,P,Y_A,Y_B,legal_repeat_rate,noop_fraction,violations
channel0,1,NOMINAL,16,0.0765625,0.44218645833333337,0.6524062500000001,0.6022770833333333,0.4440916666666667,0.3875,0.08333333333333333,0
channel0,1,NOMINAL,32,0.13593750000000002,0.4155916666666667,0.6867619791666667,0.6242770833333333,0.4155916666666667,0.6458333333333333,0.0,0
channel0,1,NOMINAL,48,0.11822916666666668,0.41375833333333334,0.6821588541666667,0.6279437499999999,0.41375833333333334,0.9166666666666667,0.0,0
channel0,1,PHYSICAL_SHIFT,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel0,1,PHYSICAL_SHIFT,2,0.0,0.522925,0.4645369791666667,0.6322770833333333,0.522925,0.004166666666666667,0.8708333333333332,0
channel0,1,PHYSICAL_SHIFT,4,0.0010416666666666667,0.5123125000000001,0.5177244791666669,0.6246104166666667,0.5135083333333335,0.0375,0.6208333333333333,0
channel0,1,PHYSICAL_SHIFT,8,0.03854166666666667,0.4811937499999999,0.5852072916666666,0.6101104166666668,0.4851749999999999,0.15416666666666667,0.32083333333333336,0
channel0,1,PHYSICAL_SHIFT,16,0.11249999999999998,0.427715625,0.6524062500000001,0.6002770833333333,0.43017500000000003,0.3875,0.08333333333333333,0
channel0,1,PHYSICAL_SHIFT,32,0.1875,0.3912583333333334,0.6862619791666666,0.6245270833333333,0.3912583333333334,0.6416666666666667,0.0,0
channel0,1,PHYSICAL_SHIFT,48,0.19479166666666667,0.3787583333333333,0.6821588541666667,0.6279437499999999,0.3787583333333333,0.9166666666666667,0.0,0
channel2,0,NOMINAL,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel2,0,NOMINAL,2,0.0,0.5373208333333334,0.48622447916666667,0.6201729166666666,0.5373208333333334,0.0,0.7666666666666666,31
channel2,0,NOMINAL,4,0.0,0.5445156250000001,0.5640369791666667,0.6002354166666667,0.5468208333333334,0.020833333333333332,0.4583333333333332,60
channel2,0,NOMINAL,8,0.0,0.5457135416666666,0.6399369791666667,0.5921520833333334,0.5477791666666666,0.041666666666666664,0.15833333333333335,98
channel2,0,NOMINAL,16,0.0,0.5454552083333333,0.6923755208333334,0.5820479166666667,0.5490499999999999,0.11666666666666665,0.016666666666666666,114
channel2,0,NOMINAL,32,0.0,0.5312531249999999,0.7306484375,0.5882770833333334,0.5338,0.10833333333333331,0.0,83
channel2,0,NOMINAL,48,0.0,0.5298781249999999,0.7391776041666667,0.5822770833333333,0.5315083333333332,0.175,0.0,39
channel2,0,PHYSICAL_SHIFT,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel2,0,PHYSICAL_SHIFT,2,0.0,0.5373208333333334,0.48622447916666667,0.6200895833333334,0.5373208333333334,0.0,0.7666666666666666,31
channel2,0,PHYSICAL_SHIFT,4,0.0,0.5435156250000001,0.5640369791666667,0.6002354166666667,0.5458208333333333,0.020833333333333332,0.4583333333333332,60
channel2,0,PHYSICAL_SHIFT,8,0.0,0.5429406250000001,0.6379630208333333,0.5920479166666668,0.5446333333333334,0.029166666666666664,0.17083333333333334,98
channel2,0,PHYSICAL_SHIFT,16,0.0,0.543621875,0.6911875000000001,0.58138125,0.5467166666666667,0.1,0.016666666666666666,116
channel2,0,PHYSICAL_SHIFT,32,0.0,0.5320145833333332,0.7292677083333333,0.5886520833333333,0.5337374999999999,0.1125,0.0,88
channel2,0,PHYSICAL_SHIFT,48,0.0,0.5294614583333332,0.7379114583333334,0.5851104166666665,0.5304249999999999,0.17083333333333334,0.0,49
channel2,1,NOMINAL,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel2,1,NOMINAL,2,0.0,0.529425,0.45928697916666666,0.6322770833333333,0.529425,0.0,0.9,0
channel2,1,NOMINAL,4,0.0,0.5327291666666667,0.5072869791666668,0.6226104166666666,0.533925,0.016666666666666666,0.6791666666666667,0
channel2,1,NOMINAL,8,0.0,0.5370083333333333,0.5625994791666667,0.62394375,0.5370083333333333,0.04583333333333333,0.4125,0
channel2,1,NOMINAL,16,0.0,0.5419072916666667,0.6288802083333334,0.6202770833333332,0.5421750000000001,0.12916666666666665,0.13749999999999998,0
channel2,1,NOMINAL,32,0.0,0.5358708333333333,0.698371875,0.5949437499999999,0.5363416666666666,0.19583333333333336,0.004166666666666667,0
channel2,1,NOMINAL,48,0.0,0.528175,0.7131109375,0.6251104166666668,0.528175,0.2166666666666667,0.0,0
channel2,1,PHYSICAL_SHIFT,1,0.0,0.5237583333333332,0.43922447916666674,0.6279437499999999,0.5237583333333332,0.0,1.0,0
channel2,1,PHYSICAL_SHIFT,2,0.0,0.529425,0.45928697916666666,0.6322770833333333,0.529425,0.0,0.9,0
channel2,1,PHYSICAL_SHIFT,4,0.0,0.5322291666666666,0.5072869791666668,0.6222770833333333,0.533425,0.016666666666666666,0.6791666666666667,0
channel2,1,PHYSICAL_SHIFT,8,0.0,0.5381750000000001,0.5617869791666668,0.62294375,0.5381750000000001,0.0375,0.4166666666666667,0
channel2,1,PHYSICAL_SHIFT,16,0.0,0.5409614583333333,0.6287260416666667,0.61719375,0.5412583333333333,0.12499999999999997,0.13749999999999998,0
channel2,1,PHYSICAL_SHIFT,32,0.0,0.5351208333333333,0.69606875,0.5932770833333334,0.535675,0.1875,0.004166666666666667,0
channel2,1,PHYSICAL_SHIFT,48,0.0,0.5285083333333334,0.7098208333333333,0.6232770833333334,0.5285083333333334,0.2041666666666667,0.0,0
